"Metric 3: Carbon content of Hawai'i fossil fuel use","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Commercial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","81305.5404654","98084.9843533","98349.8569119","96895.0459208","110076.01018","106530.840963","118371.629394","122870.82583","143644.569554","210947.278409","269781.248495","232915.908306","214786.789702","218420.369233","188164.978613","164248.970168","226101.313448","260796.357118","250814.933634","312933.715037","379192.762363","289367.734205","257692.908259","242422.563909","168728.594973","212156.788023","256857.270409","357761.265222","1227910.15448","1065310.57713","754277.649778","440064.424267","928332.426971","336637.11585","514692.597091","321295.469839","248002.223617","314825.863605","1101695.95162","282245.020669","290159.428928","252392.790516","325759.630631","290900.95439","340107.392481","342941.68074","346467.545873","289738.155997","310232.145369","369441.082947","365353.961117","413044.761351","377956.267916","383469.993987","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","1050094.10868","1387572.1226","1420307.98129","1392259.73565","1407771.5379","1572938.71869","1580110.64504","1797328.36549","1652740.61841","1633825.57343","1686950.18501","1482511.58992","1670587.16063","1692946.2686","1588056.23905","1563048.74591","1530332.22869","1575877.51538","1497279.575","1913000.13496","2111469.21516","1916648.0871","2481164.8137","1305647.43635","1236323.04188","1468699.70514","1948408.86671","1989447.00142","2353227.93","2074704.01398","2410627.73682","2330433.95882","2355118.81641","2369159.81272","2637247.79791","2677898.35942","2726140.86176","2436951.16178","1959824.21718","1776677.81489","1869433.3984","1754013.43457","1703994.47896","1773691.92114","1754630.92965","2052216.57447","2014763.62877","1860974.12925","1707332.7764","1772030.86554","1705556.26651","1725496.39352","1691466.69409","1619415.4243","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","Total","Ground/Water Transportation ","Metric Tons CO2e/","","Notes","1799846.75642","2322021.06977","2225977.60436","2194281.46211","2481315.91067","2433846.66834","2480822.73252","2564387.76192","3143304.21714","3290140.05928","3225527.93222","3369161.9441","3209065.08154","3413253.25718","3197245.54389","3349161.55858","3693407.06704","4117064.11195","4362488.20199","5055978.43189","4821201.20288","4861727.64184","4332096.6673","3942905.36908","4040677.05932","4906110.57526","4978601.24651","4217630.35036","5240347.21358","5702234.24567","5961831.91104","6343273.24792","6275811.47904","5725432.59899","6186285.28078","5847597.88056","4578681.96935","4218405.73996","4120688.44718","4991317.96573","5163249.1632","5888850.79068","5950684.59425","6577450.64975","6967207.47559","6240341.91497","6837741.54437","8938568.03699","5539338.90815","5881966.36765","5927326.55539","6057581.89825","5616230.40399","5546594.2263","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","Total","Air Transportation ","Metric Tons CO2e/","","Notes","2649710.28667","3022264.44667","2546375.18667","2822469.61333","2932590.32","3273492.34667","4130689.2","5027536.36","5680381.96","5760322.77333","5830950.10667","6662178.74667","6643603.34","6755108.65333","6085472.14","6070481.92667","5813412.36667","6093022.39333","6087778.4","6260652.2","5795697.01333","4122701.58667","3056739.98667","4568643.64","5298679.46667","5432701.41333","4215020.62667","4740649.24667","4953523.66667","5478562.24667","5230361.4","4612887.03333","4168948.81333","3712706.14","3954997.05333","4149414.86667","4190750.59333","4229737.01333","4133799.63333","3901352.54667","3881403.75333","3660642.84667","4179559.04667","5210339.27333","5493749.50667","6721475.71333","6295168.66","5239263.55333","4393035.9","3820795.51333","4042228.59333","4496586.82","4643744.6","4647156.28667","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","Total","Electrical Power Production","Metric Tons CO2e/","","Notes","1282665.31556","1420771.14667","1570212.91778","1778408.94","1956153.51556","2025576.88667","2176278.20667","2299788.08889","2550364.22667","2829687.71556","3163171.80667","3508584.56667","3976247.66","4083976.13556","4219859.23333","4321586.32889","4590092.51556","4797547.62667","4930911.62667","5001075.90889","5152518.14","5156593.15111","4914611.58222","5044196.93556","5163928.17111","5119843.96","5363455.53333","5644557.20889","6032646.44889","6325973.15778","7233750.13778","5965424.88667","6911580.69556","6942840.00667","7171157.71778","7435896.72222","7706045.08667","7644102.20444","7500714.27111","7597004.14","7717331.47778","7714632.81111","8286043.11333","7713044.09333","7999985.79111","7944892.46222","7917113.06222","7947355.65556","7764563.08222","7557085.53111","7281146.25333","7150324.91556","6815004.21556","6500612.53111","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Summary of total Hawaii Emissions","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","Metric Tons CO2e/","","Notes","6870912.64672","8260264.96643","7873834.58736","8296562.63521","8900883.95461","9426674.00144","10502457.1001","11833488.1634","13195001.7326","13776677.0234","14232437.3708","15321026.8814","15774279.3452","16225661.8169","15338566.3838","15508544.6998","15916101.9109","16910199.568","17191375.6347","18636433.9526","18386246.4991","16463426.5156","15152575.3177","15221018.5498","15976968.9411","17187992.0421","16807821.5663","16998617.3859","19857170.6869","20696591.8019","21638946.7482","19739760.8566","20722648.4975","19129855.7577","20508460.383","20475429.3819","19493217.3636","18897064.2288","18916544.5151","18617606.3572","19005506.1176","19355087.7124","20531531.764","21636160.8247","22626616.6987","23372749.5321","23484860.7802","24340246.7815","19817465.3175","19497389.5304","19416539.486","19933990.5372","19263637.0776","18790093.682","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","kgCO2e/","","Notes","6870912646.72","8260264966.43","7873834587.36","8296562635.21","8900883954.61","9426674001.44","10502457100.1","11833488163.4","13195001732.6","13776677023.4","14232437370.8","15321026881.4","15774279345.2","16225661816.9","15338566383.8","15508544699.8","15916101910.9","16910199568.0","17191375634.7","18636433952.6","18386246499.1","16463426515.6","15152575317.7","15221018549.8","15976968941.1","17187992042.1","16807821566.3","16998617385.9","19857170686.9","20696591801.9","21638946748.2","19739760856.6","20722648497.5","19129855757.7","20508460383.0","20475429381.9","19493217363.6","18897064228.8","18916544515.1","18617606357.2","19005506117.6","19355087712.4","20531531764.0","21636160824.7","22626616698.7","23372749532.1","23484860780.2","24340246781.5","19817465317.5","19497389530.4","19416539486.0","19933990537.2","19263637077.6","18790093682.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Summary of Emissions by Sector Post Life-Cycle","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","9441.23298824","12367.269927","16336.1965429","15861.9774821","16806.4930376","18506.6210374","20960.4001984","27951.7765917","31822.3290859","67048.8367375","72617.5559485","85089.0838463","77721.8625139","80272.0545136","77442.4304133","51846.0588611","81314.9441906","85374.3997959","80460.9576246","120213.29481","196490.920293","180719.526515","171552.602659","179628.327303","114941.952199","79177.1565429","74142.953088","78201.3868653","78794.0871164","79275.5992088","76921.7680979","76001.1174312","121616.744092","70122.9947734","71802.7107231","70678.2413898","70362.8333814","81655.3250356","143191.970755","102786.095205","122325.634758","123085.721869","124670.516536","105321.371649","105246.310316","104891.347154","108529.213837","96082.4902827","146132.173052","137455.172349","135974.858261","130432.047595","167090.161762","134759.873767","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","102233.270996","123035.420536","123667.055804","121891.583895","138349.969268","134053.470024","149218.806749","155304.517594","181925.605577","268186.929787","341076.38135","295934.194401","273074.912905","278053.670913","239623.847164","208426.988208","286596.454295","329731.379787","317229.964219","398777.971487","522233.440276","407039.979987","368463.372192","349834.656282","248355.841619","319988.608239","376631.520179","505798.193432","1593655.88672","1393128.42441","1006893.80253","613052.747666","1224703.76471","481458.442902","705341.283471","463636.869272","371058.981537","443301.988641","1430447.41625","404869.834421","416151.000226","367980.786993","459931.091274","415552.864732","478508.288647","482619.148871","486917.484106","415630.845114","442393.202713","517591.232405","513012.583477","574565.244394","531784.035388","538022.01232","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
